1,City of God,Fernando Meirelles,440,258,Portuguese,"Drama, Crime","Welcome to the world's most notorious slum: Rio de Janeiro's 'City of God.' A place where combat photographers fear to tread, where Police rarely go, and residents are lucky if they live to the age of 20.  This is the true story of a young man who grew up on these streets and whose ambition as a photographer is our window in and ultimately may be him only way out. (Miramax)"
2,Ilo Ilo,Anthony Chen,470,5,English,Drama,"Set in Singapore during the 1997 Asian financial crisis. Ilo Ilo chronicles the day-to-day drama of the Lim family - troublesome grade-schooler Jiale and his overstressed parents, Heck and Leng. Comfortably middleclass and with another baby on the way, they hire Teresa, a Filipino immigrant, as a live-in maid and nanny. An outsider in both the family and Singapore itself, Teresa initially struggles to manage Jiale's antics and find her footing in her new community. The two eventually form a unique bond, but just as Teresa becomes an unspoken part of the family, unforeseen circumstances in an uncertain economy will challenge the new normal yet again. [Film Movement]"
3,The Big Lebowski,Ethan Coen,440,318,English,"Comedy, Crime",A scattered farce about a pothead bowler who is mistaken for a deadbeat philanthropist.
4,Die Hard,John McTiernan,440,216,English,"Action, Thriller, Crime","When terrorists take over a Los Angeles skyscraper on Christmas Eve, visting New York cop John McClane (Willis) thwarts their plans."
5,The Usual Suspects,Bryan Singer,440,220,English,"Mystery, Thriller, Crime","Five career criminals in New York are rounded up for a standard police line-up. After release, they get together for a bit of revenge by pulling off a $3 million emerald heist. This scheme brings them to the attention of an underworld crime figure who convinces them to do a highly dangerous job."
6,Alien,Ridley Scott,440,309,English,"Sci-Fi, Thriller, Horror","For the first time in nearly a quarter-century, Alien returns to the big screen with a digitally remastered special edition of director Ridley Scott's science fiction/horror classic.  (Fox)"
7,The Truman Show,Peter Weir,440,327,English,Drama,"Twenty-nine years ago, a baby boy was adopted by the OmniCam Corporation to become the subject of the most popular television show of all time. His name is Truman Burbank.  (Paramount Pictures)"
8,The Green Mile,Frank Darabont,440,246,English,"Drama, Mystery, Fantasy, Crime","Set on Death Row in a Southern prison in 1935, this is the remarkable story of a prison guard who develops a poignant, unusual relationship with one inmate who possesses a magical gift that is both mysterious and miraculous.  (Castle Rock Entertainment)"
9,Gladiator,Ridley Scott,440,451,English,"Action, Adventure, Drama, History","Before Maximus (Crowe), the heroic Roman General, can honor the wishes of his dying emperor Marcus Aurelius (Harris) by assuming the emperor's role, the emperor's cruel and corrupt son Commodus (Phoenix) orders the execution of Maximus and his family.  Escaping death, Maximus assumes the life of an anonymous gladiator, fighting his way back to the Roman Colosseum where he seeks revenge and a return to justice for Rome."
10,Riding Alone for Thousands of Miles,Yasuo Furuhata,445,10,Mandarin,Drama,From three-time Academy Award nominated director Zhang Yimou comes a moving story of one man's journey across China's heartland.  (Sony Pictures Classics)
11,Kung Pow: Enter the Fist,Steve Oedekerk,440,448,English,"Action, Comedy",A spoof of dubbed martial arts movies.
12,Pride & Prejudice,Joe Wright,440,454,English,"Drama, Romance",Keira Knightly stars as Elizabeth Bennet in this classic tale of love and misunderstanding which unfolds in class-conscious England near the close of the 18th century.  (Focus Features)
13,Eternal Sunshine of the Spotless Mind,Michel Gondry,440,711,English,"Drama, Romance","Joel (Carrey) is stunned to discover that his girlfriend Clementine (Winslet) has had her memories of their tumultuous relationship erased.  Out of desperation, he contacts the inventor of the process, Dr. Howard Mierzwiak (Wilkinson), to have Clementine removed from his own memory.  But as Joel's memories progressively disappear, he begins to rediscover his love for Clementine.  (Focus Features)"
14,Up,Bob Peterson,440,793,English,"Adventure, Drama, Comedy, Animation, Family","Up is a comedy adventure about 78-year-old balloon salesman Carl Fredricksen, who finally fulfills his lifelong dream of a great adventure when he ties thousands of balloons to his house and flies away to the wilds of South America. But he discovers all too late that his biggest nightmare has stowed away on the trip: an overly optimistic 9-year-old Wilderness Explorer named Russell. (Walt Disney Pictures)"
15,Concert for George,David Leland,445,24,English,"Music, Documentary","On the 29th of November 2002, one year to the day that George Harrison left us, his closest friends gathered at the Royal Albert Hall to celebrate his life in the only way they knew how - by playing his music."
16,Baran,Majid Majidi,445,14,Persian,"Drama, Romance",Baran is the story of Afghan refugees told through the eyes of an Iranian teenage boy named Lateef. His devotion to a person he barely knows leads him to the choice that will change his life forever.  (Miramax Films)
17,Vampire's Kiss,Robert Bierman,445,16,English,"Fantasy, Horror, Comedy","A frustrated Manhattan literary editor, Peter Loew (Cage), meets a mysterious woman (Beals). During a passionate night of lovemaking, the woman bites him on the neck, drawing blood. When she disappears the next morning, Peter becomes convinced that she was a vampire and that's he's become one too. As he loses himself to pressure of everyday life, he begins to act the role of a creature of the night. (MGM/UA)"
18,Star Trek VI: The Undiscovered Country,Nicholas Meyer,445,18,English,"Action, Adventure, Sci-Fi, Thriller","On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and  imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace."
19,In the Shadow of the Moon,David Sington,445,15,English,Documentary,"Between 1968 and 1972, nine American spacecrafts voyaged to the Moon, and 12 men walked upon its surface. They remain the only human beings to have stood on another world. In the Shadow of the Moon brings together for the first--and possibly the last--time the surviving crew members from every single Apollo mission that flew to the Moon, and allows them to tell their story in their own words. This riveting first-hand testimony is interwoven with visually stunning archival material that has been remastered from the original NASA film footage--much of it never used before. The result is an intimate epic that vividly communicates the daring, the danger, the pride, and the promise of this extraordinary era in history, when the whole world literally looked up at America. (THINKFilm)"
20,Head in the Clouds,John Duigan,445,14,English,"Drama, Romance, War","In a time torn apart by hatred and violence, two lifelong lovers are forced to choose between passion and personal convictions, their fate intertwined with the painful history of a world at war.  (Sony Pictures Classics)"
21,LaLee's Kin: The Legacy of Cotton,Albert Maysles,445,28,English,Documentary,This heartbreaking documentary depicts the extreme poverty of an African-American family and their Mississippi Delta school district.
22,Tae Guk Gi: The Brotherhood of War,Je-gyu Kang,445,56,Korean,"Action, Drama, War",A story of two brothers set against the backdrop of the Korean War.
23,This Is Spinal Tap (re-release),Rob Reiner,445,72,English,"Comedy, Music",This classic mockumentary chronicles the final tour of the fictitious arena rock group Spinal Tap.
24,Dancer in the Dark,Lars von Trier,445,125,English,"Drama, Musical","Bjork stars as Selma, a Czech immigrant and single mother working in a factory in rural America. She is losing her eyesight and her 10 year-old son stands to suffer the same fate if she can't put away enough money to secure him an operation. (FilmFour)"
25,Sling Blade,Billy Bob Thornton,445,65,English,Drama,"A southern gothic tale about a man named Karl (Thornton), who's just been released from an asylum -- some 25 years after he committed a gruesome crime.  He returns to the southern town of his youth, where his quiet, gentle manner and simple charm land him a job and lead him to an unlikely friendship with a young boy (Black) and his widowed mother. When the mother's abusive boyfriend appears, however, this simple man is thrust into a combustible dilemma that has powerful, moving consequences for all.   (Miramax Films)"
26,This Thing of Ours,Danny Provenzano,440,8,English,"Drama, Crime","This crime story tells the story of a group of gangsters who steal hundreds of millions of dollars from the world's banks using a sophisticated Internet and satellite system, pulling off the biggest heist in the history of the American Mafia."
27,End of the Century,Jim Fields,440,8,English,"Biography, Music, Documentary","This documentary look at the Ramones traces the history of the band, from its unlikely origins, through its star-crossed career, bitter demise and the sad fates of Joey and Dee Dee. End of the Century is a vibrant, candid document of one of the most influential groups in the history of rock.  (Magnolia Pictures)"
28,Becket (re-release),Peter Glenville,440,8,English,"Biography, Drama, History","Nominated for twelve Academy Awards, this 1964 film is an historical costume drama of the grandest order. Becket is the true story of the friendship between King Henry II (O'Toole) and Thomas à Becket (Burton), a royal courtier and confidant whom Henry appoints as Archbishop of Canterbury. This stunning new 35mm color & Scope print was restored by the Academy of Motion Pictures Arts & Sciences, with funding from Martin Scorsese's Film Foundation.  (Slowhand Cinema Releasing)"
29,Formula 17,Yin-jung Chen,440,8,English,"Comedy, Romance","This comedy is revolutionary in its honest, touching, and hilarious depiction of Taiwanese gay teen life.  (Strand Releasing)"
30,An American Rhapsody,Éva Gárdos,440,8,English,Drama,"Set in the 1950s in the United States, this film focuses on a young Hungarian immigrant coming to terms with her past."
31,In Search of Mozart,Phil Grabsky,440,8,English,"Music, Documentary",This feature-length documentary film was produced to mark the 250th anniversary of Mozart's birth.  (Seventh Art Productions)
32,Giuliani Time,Kevin Keating,440,10,English,Documentary,"This chilling documentary examines Giuliani's rise to power, his policies and his so-called turnaround of New York City.  (Cinema Libre)"
33,Daughter from Danang,Gail Dolgin,440,11,English,"War, Documentary","Through intimate and sometimes excruciating moments, Daughter from Danang profoundly shows how wide the chasms of cultural difference and how deep the wounds of war can run - even within one family.  (Quad Cinema)"
34,Train of Life,Radu Mihaileanu,440,11,German,"Drama, Comedy, Romance, War",This haunting and powerful comedy is both the story of a village's dream and a suspenseful tale of great escape.  (Paramount Classics)
35,Skills Like This,Monty Miranda,440,10,English,Comedy,"25-year-old Max Solomon would like to be a writer, but has to admit he’s just not going to make it with his pen when his play, “The Onion Dance,” meets with a catastrophic reaction in its opening performance. His best buddies are Dave, who brownnoses his way to a monumentally boring mid-level sales job with no future, and Tommy, a slacker best suited for hanging out in a coffee shop and being funny. With career options like these in front of him, Max commits an impulse bank robbery—of an absolutely unique, but effective, sort. Holding a gun on his own head, he relieves interested teller Lucy of the cash in her register and rejoins his disbelieving but admiring friends. In the next three days, more unusual robberies happen and a compelling romance blooms between Max and Lucy while Dave and Tommy have their lives equally changed and Max has to question his newfound success. SKills Like This is a hilarious, original and freewheeling comedy with a real heart, winner of a well-deserved Audience Award at the South by Southwest Film Festival. (Shadow Distribution)"
36,The Flying Scotsman,Douglas MacKinnon,440,9,English,"Drama, Sport","Based on a true story, this film illustrates the story of Scottish cyclist Graeme Obree's (Miller) triumph over adversity. (MGM)"
37,56 Up,Michael Apted,440,12,English,Documentary,"Director Michael Apted revisits the same group of British-born adults he has been chronicling in documentaries every seven years since they were each 7 years old. The original concept, starting in 1964's ""Seven Up,"" was to interview 14 children from diverse backgrounds from all over England, asking them about their lives and their dreams for the future. Every seven years, Apted, a researcher for Seven Up, has been back to talk to them, examining the progression of their lives. From cab driver Tony to schoolmates Jackie, Lynn and Susan and the heart-breaking Neil, as they turn 56 more life-changing decisions and surprising developments are revealed. (First Run Features)"
